1, 32T3K, 765, 201010100, 100080111
2, KTJJT, 220, 202010000, 1109000009
3, KK677, 28, 202010000, 1111040505
4, T55J5, 684, 301010000, 903030003
5, QQQJA, 483, 301010000, 1010100012
1, 32T3K, 765, 201010100, 100080111
2, KTJJT, 220, 202010000, 1108090908
3, KK677, 28, 202010000, 1111040505
4, T55J5, 684, 301010000, 803030903
5, QQQJA, 483, 301010000, 1010100912
1, 32T3K, 765, 201010100, 100080111
2, KTJJT, 220, 202010000, 1108090908
3, KK677, 28, 202010000, 1111040505
4, T55J5, 684, 301010000, 803030903
5, QQQJA, 483, 301010000, 1010100912
1, 32T3K, 765, 201010100, 100080111
2, KTJJT, 220, 202010000, 1109000009
3, KK677, 28, 202010000, 1111050606
4, T55J5, 684, 301010000, 904040004
5, QQQJA, 483, 301010000, 1010100012
1, 32T3K, 765, 201010100, 100080111
2, KTJJT, 220, 202010000, 1109000009
3, KK677, 28, 202010000, 1111050606
4, T55J5, 684, 301010000, 904040004
5, QQQJA, 483, 301010000, 1010100012
1, 32T3K, 765, 201010100, 201090211
2, KK677, 28, 202010000, 1111050606
3, T55J5, 684, 401000000, 904040004
4, QQQJA, 483, 401000000, 1010100012
5, KTJJT, 220, 401000000, 1109000009
1, 23T9K, 678, 101010101, 102090811
2, 24937, 575, 101010101, 103080206
3, 25469, 721, 101010101, 104030508
4, 26KQT, 978, 101010101, 105111009
5, 27598, 169, 101010101, 106040807
6, 2835Q, 309, 101010101, 107020410
7, 285AK, 196, 101010101, 107041211
8, 28QA6, 326, 101010101, 107101205
9, 2KQ83, 33, 101010101, 111100702
10, 325Q6, 422, 101010101, 201041005
11, 327Q6, 875, 101010101, 201061005
12, 37Q89, 342, 101010101, 206100708
13, 38245, 863, 101010101, 207010304
14, 3846T, 375, 101010101, 207030509
15, 3Q279, 682, 101010101, 210010608
16, 3A6K5, 49, 101010101, 212051104
17, 426K5, 5, 101010101, 301051104
18, 452T7, 277, 101010101, 304010906
19, 459K2, 463, 101010101, 304081101
20, 47T36, 261, 101010101, 306090205
21, 486TK, 358, 101010101, 307050911
22, 49KQT, 419, 101010101, 308111009
23, 4T672, 880, 101010101, 309050601
24, 4Q89A, 78, 101010101, 310070812
25, 4K6Q2, 413, 101010101, 311051001
26, 4A235, 394, 101010101, 312010204
27, 4A735, 791, 101010101, 312060204
28, 527KT, 765, 101010101, 401061109
29, 5384K, 989, 101010101, 402070311
30, 53TA4, 453, 101010101, 402091203
31, 53A4K, 246, 101010101, 402120311
32, 5643T, 157, 101010101, 405030209
33, 576TA, 76, 101010101, 406050912
34, 5827T, 665, 101010101, 407010609
35, 592KQ, 493, 101010101, 408011110
36, 59AQ6, 285, 101010101, 408121005
37, 5T432, 877, 101010101, 409030201
38, 5A6TK, 156, 101010101, 412050911
39, 63982, 913, 101010101, 502080701
40, 64K82, 238, 101010101, 503110701
41, 6593Q, 6, 101010101, 504080210
42, 67QT9, 374, 101010101, 506100908
43, 68597, 583, 101010101, 507040806
44, 692A8, 514, 101010101, 508011207
45, 69Q2A, 660, 101010101, 508100112
46, 69A3K, 142, 101010101, 508120211
47, 6T235, 816, 101010101, 509010204
48, 6TA94, 508, 101010101, 509120803
49, 6Q7TA, 137, 101010101, 510060912
50, 6K753, 690, 101010101, 511060402
51, 6KQ35, 543, 101010101, 511100204
52, 74K3Q, 286, 101010101, 603110210
53, 7534K, 426, 101010101, 604020311
54, 7569T, 292, 101010101, 604050809
55, 75K46, 651, 101010101, 604110305
56, 75A24, 75, 101010101, 604120103
57, 7634K, 905, 101010101, 605020311
58, 76Q53, 987, 101010101, 605100402
59, 78T36, 777, 101010101, 607090205
60, 79TA5, 199, 101010101, 608091204
61, 7T529, 135, 101010101, 609040108
62, 7T6K8, 412, 101010101, 609051107
63, 7QK25, 696, 101010101, 610110104
64, 82594, 41, 101010101, 701040803
65, 8273K, 303, 101010101, 701060211
66, 832TQ, 822, 101010101, 702010910
67, 83KQA, 312, 101010101, 702111012
68, 85637, 553, 101010101, 704050206
